name,prompt,negative_prompt
None,,
SPLASH,"Splash art, heavy dust, magnificent, small shot, details, sharp focus, elegant, highly detailed, illustration intricate, beautiful, triadic contrast colors, trending artstation, pixiv, digital art",
OilPainting1,"Professional oil painting #TOKEN# , professional majestic oil painting by Ed Blinkey, Atey Ghailan, Studio Ghibli, by ((Jeremy Mann)), Greg Manchess, Antonio Moro, (((trending on ArtStation))), trending on CGSociety, volumetric lighting, dramatic lighting, (dawn),refraction",
Anti Splash,"professional (majestic) oil painting by Greg Manchess, Atey Ghailan, (Fenghua Zhong), ((Jeremy Mann)), ((((Greg Rutkowski)))), Antonio Moro, (((trending on ArtStation))), trending on CGSociety, dramatic lighting, (dawn), refraction, ((((Unreal Engine 5)))), rule of thirds","amateur, poorly drawn, ugly, flat"
Grungy,"intricate, elegant, highly detailed, centered, digital painting, artstation, concept art, smooth, sharp focus, illustration, artgerm, tomasz alen kopera, peter mohrbacher, donato giancola, joseph christian leyendecker, wlop, boris vallejo","amateur, poorly drawn, ugly, flat, amateur, poorly drawn, ugly, flat"
Salvadore,"in the style of salvador dali, hyperrealistic, photorealistic, scifi illustration, 4 k, ultra hd, rendered in unreal engine 5, vibrant color, beautiful color, highly detailed, evil, award winning, computers, technology, futuristic, mystical, mechanical","black, white, amateur, poorly drawn, ugly, flat, black, white, amateur, poorly drawn, ugly, flat, black, white, amateur, poorly drawn, ugly, flat"
AGray," by alex grey, patrick woodroffe, mark ryden created by gustave dore and greg rutkowski, high detailed, smooth draw, synthwave neon retro, intricate, realistic proportions, dramatic lighting, trending on artstation ",
antropomorpic,antropomorpic humanlike,
Caricature,", caricature, highly detailed, digital painting, artstation, concept art, sharp focus, cinematic lighting, illustration, art by met mangindaan, artgerm and greg rutkowski, alphonse mucha, cgsociety",
Cartix,"diffuse lighting, fantasy, intricate, elegant, highly detailed, lifelike, photorealistic, digital painting, artstation, illustration, concept art, smooth, sharp focus, art by ernie barnes and george bellows and jean germain drouais"," illustration, low quality, deformed people"
SplashMod,"Splash art, heavy dust, magnificent, small shot, details, sharp focus, elegant, highly detailed, illustration intricate, beautiful, trending artstation, pixiv, digital art",
SplashMod2,"Splash art,  magnificent, small shot, details, sharp focus, elegant, highly detailed, illustration intricate, beautiful, trending artstation, pixiv, digital art",
MeltingWax,"highly detailed surreal {prompt} made from hyper detailed hyper colour melting wax, cinematic, 8 k,  redshift, artstation, behance, deviantart, by hannah yata , 4k resolution, trending on artstation, very very detailed, masterpiece, stunning",
PaintedPotrait,"Portrait of {prompt} , cottage core, cinematic focus, polaroid photo bleached vintage pastel colors high - key lighting, soft lights, foggy, by steve hanks, by lisa yuskavage, by serov valentin, by tarkovsky, 8 k render, detailed, oil on canvas ",
CrystalGrow,"impressive ominous cinematic fine portrait photo of a {prompt} rigid shattered crystal shard glitch volumetric dynamic fluid simulation lighting impressive masterpiece hyper ultra detailed intricate sharp focus 8 k realistic illustration canon eos r 3 fujifilm x - t 3 0 sony alpha, by james gurney tooth wu artgerm colorful!!!, trending on artstation behance cgsociety ",
WLOP,"a WLOP 3d render of Very very very very highly detailed beautiful mystic {prompt}, tattoos by Anton Pieck, intricate, extremely detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, intimidating lighting, incredible art",
lovecraftian,"closeup portrait shot of a {prompt} in lovecraftian world in a scenic dystopian environment, intricate, elegant, highly detailed, centered, digital painting, artstation, concept art, smooth, sharp focus, illustration, artgerm, tomasz alen kopera, peter mohrbacher, donato giancola, joseph christian leyendecker, wlop, boris vallejo ",black and white
